姓名,出生日期(xxxx年x月x日),性别,籍贯(至少精确到市或县，标注经纬度),,所在单位(标注经纬度),,专业
陈学东,1964年8月13日,男,安徽省铜陵市,"(30.940929694665662, 117.81942872880637)",合肥通用机械研究院,"(31.861227183410097, 117.21022566532534)",特种设备设计制造与运行维护工程科技专家
李德群,1945年8月7日,男,江苏省泰县,"(33.01379716995394, 119.36848893835847)",华中科技大学,"(22.53730682931616, 113.93059589017)",材料成形专家
黄庆学,1960年12月5日,男,吉林省舒兰市,"(44.33546514415817, 127.11677230894627)",太原理工大学,"(37.74988844681655, 112.72796967392615)",轧钢机械设计专家
蒋庄德,1955年8月4日,男,辽宁省庄河市,"(39.85890978417193, 122.9341452670001)",西安交通大学,"(39.056240017913474, 121.79131718057823)",机械制造及自动化专家
黄先祥,1940年4月20日,男,江苏如东县,"(32.387662145338346, 121.05924442185102)",中国民解放军火箭军工程大学,"(35.24171236301076, 113.23080396515695)",导弹发射与运用技术专家
李骏,1958年3月24日,男,吉林省长春市,"(43.89833760709784, 125.31364242720072)",中国第一汽车集团公司,"(43.863731838238095, 125.25299634989938)",汽车发动机专家
李椿萱,1939年11月9日,男,广东省新会市,"(22.529192578681695, 113.04325150431791)",北京航空航天大学,"(39.98742228793689, 116.3538179292145)",空气动力学、航空航天飞行器设计、高速碰撞力学专家
黄瑞松,1938年7月18日,男,江苏省宜兴市,"(31.362244911878832, 119.79026529658498)",中国航天科工集团,"(39.92939929245472, 116.32320819680946)",飞航技术专家
何琳,1957年11月11日,男,四川省西充县,"(31.063877074354142, 105.85733163520524)",海军工程大学,"(30.583761228088562, 114.24824984848172)",潜艇降噪技术专家
郭东明,1959年4月30日,男,河南省温县,"(34.95025990507197, 113.05529612566157)",大连理工大学,"(38.88845504967863, 121.6698020395988)",机械制造及自动化专家
关杰,1939年11月13日,男,福建莆田市,"(25.448450136734262, 119.07773096395962)",中国重型机械研究院,"(34.31148734444118, 109.00242926525996)",连铸设备专家
侯晓,1963年10月8日,男,陕西岐山县,"(34.41070526477879, 107.68898501373312)",中国航天科技集团第四研究院,"(31.080108632045057, 121.39092524995938)",航天固体火箭发动机专家
高金吉,1942年12月1日,男,辽宁本溪,"(41.32583762664885, 123.77806236979248)",北京化工大学,"(39.947252807033195, 116.31111920369706)",设备诊断工程专家
甘晓华,1957年1月12日,男,江西省进贤县,"(28.4417580329836, 116.31745778129796)",空军装备研究院,"(21.252299510861732, 110.45875594615198)",航空发动机专家
金东寒,1961年1月11日,男,黑龙江省绥化,"(47.35659164311141, 128.0474137149926)",中国船舶重工集团公司第七一一研究所,"(31.057912565159672, 121.38828897391484)",动力机械工程专家
冯煜芳,1963年1月29日,男,浙江余姚,"(29.99645671901067, 121.15277918828542)",火箭军研究院,"(21.252299510861732, 110.45875594615198)",弹道导弹弹头与战斗部技术专家
沈昌祥,1940年8月22日,男,浙江省奉化,"(29.60351955274471, 121.42129377822225)",海军计算技术研究所,"(31.228007413970808, 121.444824206677)",信息系统工程专家
潘云鹤,1946年11月4日,男,浙江省杭州市,"(30.259244461536102, 120.2193754157201)",中国工程院,"(39.95681575330512, 116.38369901098648)",计算机应用专家
邬江兴,1953年9月12日,男,安徽省金寨县,"(31.47909281966015, 115.77931490356178)",国家数字交换系统工程技术研究中心,"(40.01085201444818, 116.32341558141611)",通信与信息系统专家
陈予恕,1931年3月29日,男,山东肥城,"(36.11251434470133, 116.74476246765376)",天津大学,"(39.11876347552782, 117.1805305768109)",工程非线性振动专家
吴澄,1940年1月14日,男,浙江省桐乡市,"(30.61234103032807, 120.49041120216108)",清华大学,"(40.00864488780562, 116.33375156995295)",自动控制专家
邬贺铨,1943年1月16日,男,广东番禺,"(22.93459079579793, 113.41679952964883)",信息产业部电信科学技术研究院,"(39.98561503075444, 116.36092885364839)",光纤传送网与宽带信息网专家
韦钰,1940年2月7日,女,广西桂林,"(25.262901245955238, 110.26092014748276)",东南大学学习科学研究中心,"(32.06252933589934, 118.80499856090633)",电子学专家
姜景山,1936年2月8日,男,朝鲜族,"(40.68546770225602, 124.7978989566896)",中国科学院空间科学与应用研究中心,"(39.987751717357554, 116.34349564342992)",微波遥感及航天应用工程科学专家
黄培康,1935年9月28日,男,上海市南汇县,"(31.051897976820506, 121.7699041751199)",中国航天科工集团公司,"(39.9291319087957, 116.32240718676927)",电子技术专家
李幼平,1935年5月1日,男,福建泉州,"(24.901652383991102, 118.60036234322938)",中国工程物理研究院,"(30.631912145834242, 104.06504396475454)",电子学家
李三立,1935年8月24日,男,上海,"(31.24916171001514, 121.48789948569473)",清华大学,"(40.00864488780562, 116.33375156995295)",计算机专家
李乐民,1932年5月28日,男,浙江省吴兴,"(30.80854523456369, 120.08891886954264)",成都电子科技大学,"(30.68194977226741, 104.10761345914301)",通信技术专家
金怡濂,1929年9月5日,男,天津市,"(39.143929903310074, 117.21081309155257)",国家并行计算机工程技术研究中心,"(40.01085201444818, 116.32341558141611)",计算机专家
